Відділ;Телефон;email
Телефонна довідкова служба;+380 44 531-31-73;
Інформаційно-консультаційний центр приймальної комісії;+380 44 531-48-88;pk@knute.edu.ua
Відділ організації та контролю діловодства;+380 44 531-47-41;knute@knute.edu.ua
Центр укладання договорів;+380 44 531-48-50,               531-48-51;
Центр підготовки до ЗНО;+380 044-531-48-97                  531-49-91                 531-49-26;
Підготовче відділення для іноземців та осіб без громадянства;+380 44 531-49-23;
Відділ міжнародних зв'язків;+380 44 531-47-14,               531-47-44,                531-63-45;interdept@knute.edu.ua
Відділ організаційно-виховної роботи та інформаційного забезпечення;+380 44 531-49-48               531-31-06;info@knute.edu.ua
Бібліотека;+380 44 531-47-86;libr@knute.edu.ua
Центральна бухгалтерія;+380 44 531-47-55;buh@knute.edu.ua
Планово-фінансовий відділ (сектор контрактів, оплата за навчання);+380 44 531-49-84;
Відділ кадрів;+380 44 531-49-37;staff@knute.edu.ua
Юридичний відділ;+380 44 531-48-46;legal@knute.edu.ua
Уповноважена особа з питань запобігання та протидії корупції КНТЕУ;+380 44 531-49-97;stopcorruption@knute.edu.ua
Навчальний відділ;+380 44 531-47-51                531-48-13;
Військовий стіл;+380 44 531-48-89;
Студентське містечко;+380 44 531-48-29;
Медичний пункт (обслуговування студентів);+380 44 531-31-09;
Медичний пункт (обслуговування працівників);+380 44 531-47-64;
Факультет торгівлі та маркетингу;+380 44 531-47-94;ftm@knute.edu.ua
Факультет фінансів та обліку;+380 44 531-47-57;
Факультет міжнародної торгівлі та права;+380 44 531-31-02;fmtp.dekanat@knute.edu.ua
Факультет економіки, менеджменту та психології;+380 44 531-47-06;
Факультет інформаційних технологій;+380 44 531-48-80;fit@knute.edu.ua
Факультет ресторанно-готельного та туристичного бізнесу;+380 44 531-49-30;frh@knute.edu.ua
Інститут вищої кваліфікації;+380 44 529-61-45;
Центр розвитку кар’єри;+380 44 531-47-45;crk@knute.edu.ua
