Факультет;Курс;URL
ФІТ;1;https://knute.edu.ua/file/MjY=/59853384d9a18595639a903a4be3a7d2.xls
ФІТ;2;https://knute.edu.ua/file/MjY=/bd5e5c9d8b9ea303e7f09e796c835898.xls
ФІТ;3;https://knute.edu.ua/file/MjY=/81e0d2dd92ee5ed403e293f31c0d5ae8.xls
ФІТ;4;https://knute.edu.ua/file/MjY=/4b003622256e34d8dbd76cdb3534e75d.xls
ФЕМП;1;https://knute.edu.ua/file/MjM=/5316f0095a17159060043bb00917621e.xls
ФЕМП;2;https://knute.edu.ua/file/MjM=/8ed9ad85b1ce2618e43e3463ba7f6ffe.xls
ФЕМП;3;https://knute.edu.ua/file/MjM=/ed211ef10c2c47e96be3850c4b3954f1.xls
ФЕМП;4;https://knute.edu.ua/file/MjY=/a4690396988bb94c4c4bcc2ec0694168.xls
ФМТП;1;https://knute.edu.ua/file/Mjc=/eed0921908f8a37e2b0cb6e341c99452.xls
ФМТП;2;https://knute.edu.ua/file/Mjc=/d6858f670561111ce9fd4e237b4847a1.xls
ФМТП;3;https://knute.edu.ua/file/MjM=/dd1f8e7241be38c4571df61abb4dbc09.xls
ФМТП;4;https://knute.edu.ua/file/MjM=/070c6df56ca3ca29ea179762655faf32.xls
ФРГТБ;1;https://knute.edu.ua/file/MjU=/3562a946f95fb8252a3b675256443b5f.xls
ФРГТБ;2;https://knute.edu.ua/file/MjU=/4de90bcabc52e4a9498ab178e8ee9bed.xls
ФРГТБ;3;https://knute.edu.ua/file/MjU=/fd4b9795bd3538bfeb6f211e73b5050a.xls
ФРГТБ;4;https://knute.edu.ua/file/MjU=/c8c15b10c15438f9138c8acedb470bc3.xls
ФТМ;1;https://knute.edu.ua/file/Mjc=/785cbcbe47ed57ac73ae2455fb54ebe6.xls
ФТМ;2;https://knute.edu.ua/file/Mjc=/866e2551cad7b0194604e9d31279ef7b.xls
ФТМ;3;https://knute.edu.ua/file/Mjc=/6fbea52159b451f6a3947d42441da5cb.xls
ФТМ;4;https://knute.edu.ua/file/Mjc=/0d6666d5b319f6426c483946afb781bf.xls
ФФО;1;https://knute.edu.ua/file/MjQ=/f48e5fe7857a85da3f06418994f18d05.xls
ФФО;2;https://knute.edu.ua/file/MjQ=/ee186e68e8b2a26c7b82a179d5dd00cf.xls
ФФО;3;https://knute.edu.ua/file/MjQ=/0d4ce3aa4dbaf98c292f9841c9975285.xls
ФФО;4;https://knute.edu.ua/file/MjQ=/5dd3ff8d3635c648125d343d7931ea52.xls
