Факультет;Курс;URL
ФІТ;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФІТ;1м;https://knute.edu.ua/file/MjY=/75f80f23ffbb7949eb1176976f65e607.xls
ФІТ;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФІТ;2м;https://knute.edu.ua/file/MjY=/c90d036f2d48f4e6f6097909a81d6674.xls
ФІТ;3;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФІТ;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФЕМП;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФЕМП;1м;https://knute.edu.ua/file/MjM=/c121b184739ff7704825bce7a49f88d0.xls
ФЕМП;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФЕМП;2м;https://knute.edu.ua/file/MjM=/919b7ba72ca466fba74fc89b49b6ad51.xls
ФЕМП;3;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФЕМП;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФМТП;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФМТП;1м;https://knute.edu.ua/file/Mjc=/769df4b2c398f6d481f3fa44c6a55a53.xls
ФМТП;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФМТП;2м;https://knute.edu.ua/file/Mjc=/ddac5be217bb1b67273311bb30da84d8.xls
ФМТП;3;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФМТП;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФРГТБ;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФРГТБ;1м;https://knute.edu.ua/file/MjU=/c532e25ac6adb8dcc2ba8aad22ff4078.xls
ФРГТБ;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФРГТБ;2м;https://knute.edu.ua/file/MjU=/a7f0b97e6b14dac7cadcd4150229b79a.xls
ФРГТБ;3;https://knute.edu.ua/file/MjU=/000bff501c0dc0570ece47c4b0364936.xls
ФРГТБ;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФТМ;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФТМ;1м;https://knute.edu.ua/file/Mjc=/a89edfde1e61b380ac8f3dd6f22f04fe.xls
ФТМ;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФТМ;2м;https://knute.edu.ua/file/Mjc=/da1f1717d587ed4f8d975c97c5e86fa5.xls
ФТМ;3;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФТМ;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФФО;1;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФФО;1м;https://knute.edu.ua/file/MjQ=/7b0bc7f68986fd0278c34a9c1a1a7b1f.xls
ФФО;2;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФФО;2м;https://knute.edu.ua/file/MjQ=/293863d8612d9f2ae1f52c0a100f3ac8.xls
ФФО;3;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
ФФО;4;https://knute.edu.ua/file/Mjc=/0101fc8bd0e0c402ad32dc88bacb6d85.xls
